	Cambridge Pink and Black Stripe				RHS Green Circle/Black Diamond				Balance
Race	Pink(7, 8)		Black Stripe(10, 11)		Green Circle(7, 8)		Black Diamond(10, 11)		Min	Max
1	20	18	17	11					0	1
2					16	4	7	13	0	1
3	17	2	6	11					0	2
4					7	10	19	13	0	2
5	6	2	5	8					0	2
6					19	10	1	15	0	2
7	5	12	3	8					0	2
8					1	14	9	15	0	2
9	20	12	3	18					0	2
10					16	14	9	4	0	2
11	11	0	17	19					1	3
12					8	2	6	13	1	3
13	17	4	18	19					1	4
14					6	9	14	13	1	4
15	18	4	5	7					1	4
16					14	9	10	12	1	4
17	5	20	3	7					1	4
18					10	15	16	12	1	4
19	11	20	3	0					2	4
20					8	15	16	2	2	4
21	18	6	1	10					2	5
22					7	19	3	17	2	5
23	1	9	5	10					2	6
24					3	20	16	17	2	6
25	5	9	13	0					3	6
26					16	20	4	8	3	6
27	13	12	15	0					4	6
28					4	14	11	8	4	6
29	18	12	15	6					4	6
30					7	14	11	19	4	6
31	2	9	1	0					5	7
32					20	17	15	12	5	7
33	1	19	6	0					5	7
34					15	16	7	12	5	8
35	6	19	8	14					5	8
36					7	16	5	11	5	8
37	8	18	10	14					5	8
38					5	4	13	11	5	8
39	2	18	10	9					6	8
40					20	4	13	17	6	8
41	1	3	8	0					6	9
42					11	10	14	18	6	9
43	8	7	2	0					7	10
44					14	17	15	18	7	10
45	2	7	5	19					7	10
46					15	17	9	20	7	10
47	5	6	12	19					7	10
48					9	16	13	20	7	10
49	1	6	12	3					8	10
50					11	16	13	10	8	10
51	0	4	15	2					8	11
52					9	8	14	19	8	11
53	1	4	3	2					9	11
54					19	8	10	16	9	12
55	1	17	3	6					9	12
56					10	18	13	16	9	12
57	6	17	20	7					9	12
58					13	18	11	12	9	12
59	20	0	15	7					10	12
60					11	9	14	12	10	12
61	1	5	4	3					10	12
62					16	20	17	7	10	13
63	4	2	19	3					10	13
64					17	9	18	7	10	14
65	19	2	0	10					11	14
66					13	9	18	11	11	14
67	0	12	8	10					11	14
68					13	15	14	11	11	14
69	8	12	1	5					12	14
70					14	15	16	20	12	14
71	6	2	3	0					12	14
72					12	9	13	17	12	15
73	3	15	5	0					12	15
74					13	11	8	17	12	16
75	5	15	4	1					13	16
76					14	11	8	16	13	16
77	4	10	20	1					13	16
78					14	18	19	16	13	16
79	20	6	10	2					14	16
80					12	18	19	9	14	16
81	3	5	1	7					14	16
82					13	11	14	17	14	17
83	1	7	6	4					14	17
84					14	12	18	17	14	18
85	6	4	0	16					14	18
86					20	12	18	9	14	18
87	0	16	10	2					15	18
88					20	9	15	19	15	18
89	10	3	5	2					16	18
90					15	11	13	19	16	18
