	Cambridge Pink and Black Stripe				RHS Green Circle/Black Diamond				Balance
Race	Pink(7, 8)		Black Stripe(10, 11)		Green Circle(7, 8)		Black Diamond(10, 11)		Min	Max
1	18	0	9	6					0	1
2					11	20	3	5	0	1
3	9	7	15	6					0	2
4					3	2	10	5	0	2
5	15	7	1	23					0	2
6					10	2	22	12	0	2
7	1	8	21	23					0	2
8					22	4	14	12	0	2
9	21	8	13	16					0	2
10					14	4	17	19	1	2
11	13	18	0	16					1	2
12					17	11	20	19	2	2
13	8	15	10	7					2	3
14					5	0	3	13	2	3
15	10	18	1	7					2	4
16					3	14	19	13	2	4
17	1	18	22	21					2	4
18					19	14	2	11	2	4
19	22	16	6	21					2	4
20					2	23	9	11	2	4
21	6	16	4	12					2	4
22					9	23	20	17	3	4
23	4	8	15	12					3	4
24					20	5	0	17	4	4
25	16	3	9	1					4	5
26					11	13	6	14	4	5
27	9	0	10	1					4	6
28					6	20	22	14	4	6
29	10	0	21	4					4	6
30					22	20	15	2	4	6
31	21	19	5	4					4	6
32					15	18	17	2	4	6
33	5	19	7	8					4	6
34					17	18	12	23	5	6
35	7	16	3	8					5	6
36					12	11	13	23	6	6
37	10	17	22	18					6	7
38					7	2	15	1	6	7
39	22	5	14	18					6	8
40					1	2	13	6	6	8
41	14	5	8	12					6	8
42					13	0	19	6	6	8
43	8	9	16	12					6	8
44					19	0	11	3	6	8
45	4	9	16	21					6	8
46					11	23	20	3	7	8
47	4	10	17	21					7	8
48					7	23	20	15	8	8
49	3	19	16	11					8	9
50					18	0	10	22	8	9
51	16	8	14	11					8	10
52					10	23	15	22	8	10
53	14	8	6	4					8	10
54					15	23	1	17	8	10
55	6	12	20	4					8	10
56					1	13	5	17	8	10
57	20	12	21	9					8	10
58					2	13	5	7	9	10
59	21	3	19	9					9	10
60					2	18	0	7	10	10
61	12	10	6	5					10	11
62					8	22	15	4	10	11
63	6	11	23	5					10	12
64					15	3	0	4	10	12
65	18	11	23	16					10	12
66					0	3	7	17	10	12
67	18	16	20	9					10	12
68					7	17	1	14	10	12
69	20	21	13	9					10	12
70					1	19	2	14	11	12
71	12	21	13	10					11	12
72					8	19	2	22	12	12
73	16	4	1	20					12	13
74					23	9	21	7	12	13
75	1	14	18	20					12	14
76					21	5	13	7	12	14
77	18	14	11	10					12	14
78					13	5	12	3	12	14
79	11	8	6	10					12	14
80					12	19	22	3	12	14
81	17	8	6	2					12	14
82					22	19	0	15	13	14
83	17	16	4	2					13	14
84					0	23	9	15	14	14
85	10	19	18	1					14	15
86					17	6	13	4	14	15
87	18	5	22	1					14	16
88					3	6	7	4	14	16
89	11	5	22	0					14	16
90					3	7	12	9	14	16
91	11	0	21	14					14	16
92					12	9	8	2	14	16
93	21	15	16	14					14	16
94					8	23	20	2	15	16
95	10	15	16	19					15	16
96					20	23	17	13	16	16
